chapter_id,chapter_name,verse_number,verse_key,arabic_text_raw,arabic_text_normalized,arabic_text_search,arabic_words,turkish_text
3,Ali 'Imran,3,3:3,نَزَّلَ عَلَيْكَ ٱلْكِتَـٰبَ بِٱلْحَقِّ مُصَدِّقًا لِّمَا بَيْنَ يَدَيْهِ وَأَنزَلَ ٱلتَّوْرَىٰةَ وَٱلْإِنجِيلَ,نزل عليك ٱلكتب بٱلحق مصدقا لما بين يديه وأنزل ٱلتورىة وٱلإنجيل,نزل عليك الكتب بالحق مصدقا لما بين يديه وانزل التوريه والانجيل,نزل عليك الكتب بالحق مصدقا لما بين يديه وانزل التوريه والانجيل,"Kendisinden önceki Kitapları tasdik eden Hak Kitap'ı sana indirdi. Önceden insanlara yol gösterici olarak Tevrat ve İncil'i de indirmişti. O, doğruyu yanlıştan ayıran Kitap'ı indirdi. Doğrusu Allah'ın ayetlerini inkar edenler için şiddetli azab vardır. Allah güçlüdür, mazlumların öcünü alır."
3,Ali 'Imran,4,3:4,مِن قَبْلُ هُدًى لِّلنَّاسِ وَأَنزَلَ ٱلْفُرْقَانَ ۗ إِنَّ ٱلَّذِينَ كَفَرُوا۟ بِـَٔايَـٰتِ ٱللَّهِ لَهُمْ عَذَابٌ شَدِيدٌ ۗ وَٱللَّهُ عَزِيزٌ ذُو ٱنتِقَامٍ,من قبل هدى للناس وأنزل ٱلفرقان  إن ٱلذين كفروا بايت ٱلله لهم عذاب شديد  وٱلله عزيز ذو ٱنتقام,من قبل هدي للناس وانزل الفرقان  ان الذين كفروا بايت الله لهم عذاب شديد  والله عزيز ذو انتقام,من قبل هدي للناس وانزل الفرقان ان الذين كفروا بايت الله لهم عذاب شديد والله عزيز ذو انتقام,"Kendisinden önceki Kitapları tasdik eden Hak Kitap'ı sana indirdi. Önceden insanlara yol gösterici olarak Tevrat ve İncil'i de indirmişti. O, doğruyu yanlıştan ayıran Kitap'ı indirdi. Doğrusu Allah'ın ayetlerini inkar edenler için şiddetli azab vardır. Allah güçlüdür, mazlumların öcünü alır."
3,Ali 'Imran,5,3:5,إِنَّ ٱللَّهَ لَا يَخْفَىٰ عَلَيْهِ شَىْءٌ فِى ٱلْأَرْضِ وَلَا فِى ٱلسَّمَآءِ,إن ٱلله لا يخفى عليه شىء فى ٱلأرض ولا فى ٱلسماء,ان الله لا يخفي عليه شيء في الارض ولا في السماء,ان الله لا يخفي عليه شيء في الارض ولا في السماء,Şüphesiz gökte ve yerde hiçbir şey Allah'tan gizli kalmaz.
3,Ali 'Imran,6,3:6,هُوَ ٱلَّذِى يُصَوِّرُكُمْ فِى ٱلْأَرْحَامِ كَيْفَ يَشَآءُ ۚ لَآ إِلَـٰهَ إِلَّا هُوَ ٱلْعَزِيزُ ٱلْحَكِيمُ,هو ٱلذى يصوركم فى ٱلأرحام كيف يشاء  لا إله إلا هو ٱلعزيز ٱلحكيم,هو الذي يصوركم في الارحام كيف يشاء  لا اله الا هو العزيز الحكيم,هو الذي يصوركم في الارحام كيف يشاء لا اله الا هو العزيز الحكيم,"Ana rahminde sizi dilediği gibi şekillendiren O'dur. O'ndan başka tanrı yoktur, güçlüdür, Hakim'dir."
3,Ali 'Imran,7,3:7,هُوَ ٱلَّذِىٓ أَنزَلَ عَلَيْكَ ٱلْكِتَـٰبَ مِنْهُ ءَايَـٰتٌ مُّحْكَمَـٰتٌ هُنَّ أُمُّ ٱلْكِتَـٰبِ وَأُخَرُ مُتَشَـٰبِهَـٰتٌ ۖ فَأَمَّا ٱلَّذِينَ فِى قُلُوبِهِمْ زَيْغٌ فَيَتَّبِعُونَ مَا تَشَـٰبَهَ مِنْهُ ٱبْتِغَآءَ ٱلْفِتْنَةِ وَٱبْتِغَآءَ تَأْوِيلِهِۦ ۗ وَمَا يَعْلَمُ تَأْوِيلَهُۥٓ إِلَّا ٱللَّهُ ۗ وَٱلرَّٰسِخُونَ فِى ٱلْعِلْمِ يَقُولُونَ ءَامَنَّا بِهِۦ كُلٌّ مِّنْ عِندِ رَبِّنَا ۗ وَمَا يَذَّكَّرُ إِلَّآ أُو۟لُوا۟ ٱلْأَلْبَـٰبِ,هو ٱلذى أنزل عليك ٱلكتب منه ءايت محكمت هن أم ٱلكتب وأخر متشبهت  فأما ٱلذين فى قلوبهم زيغ فيتبعون ما تشبه منه ٱبتغاء ٱلفتنة وٱبتغاء تأويله  وما يعلم تأويله إلا ٱلله  وٱلرسخون فى ٱلعلم يقولون ءامنا به كل من عند ربنا  وما يذكر إلا أولوا ٱلألبب,هو الذي انزل عليك الكتب منه ءايت محكمت هن ام الكتب واخر متشبهت  فاما الذين في قلوبهم زيغ فيتبعون ما تشبه منه ابتغاء الفتنه وابتغاء تاويله  وما يعلم تاويله الا الله  والرسخون في العلم يقولون ءامنا به كل من عند ربنا  وما يذكر الا اولوا الالبب,هو الذي انزل عليك الكتب منه ءايت محكمت هن ام الكتب واخر متشبهت فاما الذين في قلوبهم زيغ فيتبعون ما تشبه منه ابتغاء الفتنه وابتغاء تاويله وما يعلم تاويله الا الله والرسخون في العلم يقولون ءامنا به كل من عند ربنا وما يذكر الا اولوا الالبب,"Sana Kitap'ı indiren O'dur. Onda Kitap'ın temeli olan kesin anlamlı ayetler vardır, diğerleri de çeşitli anlamlıdırlar. Kalblerinde eğrilik olan kimseler, fitne çıkarmak, kendilerine göre yorumlamak için onların çeşitli anlamlı olanlarına uyarlar. Oysa onların yorumunu ancak Allah bilir. İlimde derinleşmiş olanlar: &quot;Ona inandık, hepsi Rabbimiz'in katındandır&quot; derler. Bunu ancak akıl sahipleri düşünür;"
3,Ali 'Imran,8,3:8,رَبَّنَا لَا تُزِغْ قُلُوبَنَا بَعْدَ إِذْ هَدَيْتَنَا وَهَبْ لَنَا مِن لَّدُنكَ رَحْمَةً ۚ إِنَّكَ أَنتَ ٱلْوَهَّابُ,ربنا لا تزغ قلوبنا بعد إذ هديتنا وهب لنا من لدنك رحمة  إنك أنت ٱلوهاب,ربنا لا تزغ قلوبنا بعد اذ هديتنا وهب لنا من لدنك رحمه  انك انت الوهاب,ربنا لا تزغ قلوبنا بعد اذ هديتنا وهب لنا من لدنك رحمه انك انت الوهاب,"Rabbimiz! Bizi doğru yola erdirdikten sonra kalblerimizi eğriltme, katından bize rahmet bağışla; şüphesiz Sen sonsuz bağışta bulunansın."
3,Ali 'Imran,9,3:9,رَبَّنَآ إِنَّكَ جَامِعُ ٱلنَّاسِ لِيَوْمٍ لَّا رَيْبَ فِيهِ ۚ إِنَّ ٱللَّهَ لَا يُخْلِفُ ٱلْمِيعَادَ,ربنا إنك جامع ٱلناس ليوم لا ريب فيه  إن ٱلله لا يخلف ٱلميعاد,ربنا انك جامع الناس ليوم لا ريب فيه  ان الله لا يخلف الميعاد,ربنا انك جامع الناس ليوم لا ريب فيه ان الله لا يخلف الميعاد,"Rabbimiz! Doğrusu geleceği şüphe götürmeyen günde, insanları toplayacak olan Sensin. Şüphesiz ki Allah verdiği sözden caymaz."
3,Ali 'Imran,10,3:10,إِنَّ ٱلَّذِينَ كَفَرُوا۟ لَن تُغْنِىَ عَنْهُمْ أَمْوَٰلُهُمْ وَلَآ أَوْلَـٰدُهُم مِّنَ ٱللَّهِ شَيْـًٔا ۖ وَأُو۟لَـٰٓئِكَ هُمْ وَقُودُ ٱلنَّارِ,إن ٱلذين كفروا لن تغنى عنهم أمولهم ولا أولدهم من ٱلله شيا  وأولئك هم وقود ٱلنار,ان الذين كفروا لن تغني عنهم امولهم ولا اولدهم من الله شيا  واوليك هم وقود النار,ان الذين كفروا لن تغني عنهم امولهم ولا اولدهم من الله شيا واوليك هم وقود النار,"İnkar edenlerin malları ve çocukları, Allah'a karşı onlara bir şey sağlamaz. İşte onlar ateşin yakıtlarıdır."
4,An-Nisa,1,4:1, يَـٰٓأَيُّهَا ٱلنَّاسُ ٱتَّقُوا۟ رَبَّكُمُ ٱلَّذِى خَلَقَكُم مِّن نَّفْسٍ وَٰحِدَةٍ وَخَلَقَ مِنْهَا زَوْجَهَا وَبَثَّ مِنْهُمَا رِجَالًا كَثِيرًا وَنِسَآءً ۚ وَٱتَّقُوا۟ ٱللَّهَ ٱلَّذِى تَسَآءَلُونَ بِهِۦ وَٱلْأَرْحَامَ ۚ إِنَّ ٱللَّهَ كَانَ عَلَيْكُمْ رَقِيبًا,يأيها ٱلناس ٱتقوا ربكم ٱلذى خلقكم من نفس وحدة وخلق منها زوجها وبث منهما رجالا كثيرا ونساء  وٱتقوا ٱلله ٱلذى تساءلون به وٱلأرحام  إن ٱلله كان عليكم رقيبا,يايها الناس اتقوا ربكم الذي خلقكم من نفس وحده وخلق منها زوجها وبث منهما رجالا كثيرا ونساء  واتقوا الله الذي تساءلون به والارحام  ان الله كان عليكم رقيبا,يايها الناس اتقوا ربكم الذي خلقكم من نفس وحده وخلق منها زوجها وبث منهما رجالا كثيرا ونساء واتقوا الله الذي تساءلون به والارحام ان الله كان عليكم رقيبا,"Ey İnsanlar! Sizi bir tek nefisten yaratan, ondan eşini var eden ve ikisinden pek çok erkek ve kadın meydana getiren Rabb'inize hürmetsizlikten sakının. Kendisi adına birbirinizden dilekte bulunduğunuz Allah'ın ve akrabanın haklarına riayetsizliktende sakının. Allah şüphesiz hepinizi görüp gözetmektedir."
4,An-Nisa,2,4:2,وَءَاتُوا۟ ٱلْيَتَـٰمَىٰٓ أَمْوَٰلَهُمْ ۖ وَلَا تَتَبَدَّلُوا۟ ٱلْخَبِيثَ بِٱلطَّيِّبِ ۖ وَلَا تَأْكُلُوٓا۟ أَمْوَٰلَهُمْ إِلَىٰٓ أَمْوَٰلِكُمْ ۚ إِنَّهُۥ كَانَ حُوبًا كَبِيرًا,وءاتوا ٱليتمى أمولهم  ولا تتبدلوا ٱلخبيث بٱلطيب  ولا تأكلوا أمولهم إلى أمولكم  إنه كان حوبا كبيرا,وءاتوا اليتمي امولهم  ولا تتبدلوا الخبيث بالطيب  ولا تاكلوا امولهم الي امولكم  انه كان حوبا كبيرا,وءاتوا اليتمي امولهم ولا تتبدلوا الخبيث بالطيب ولا تاكلوا امولهم الي امولكم انه كان حوبا كبيرا,"Yetimlere mallarını verin. Temizi murdara değişmeyin, onların mallariyle kendi mallarınızı karıştırarak yemeyin, çünkü bu büyük bir suçtur."
4,An-Nisa,3,4:3,وَإِنْ خِفْتُمْ أَلَّا تُقْسِطُوا۟ فِى ٱلْيَتَـٰمَىٰ فَٱنكِحُوا۟ مَا طَابَ لَكُم مِّنَ ٱلنِّسَآءِ مَثْنَىٰ وَثُلَـٰثَ وَرُبَـٰعَ ۖ فَإِنْ خِفْتُمْ أَلَّا تَعْدِلُوا۟ فَوَٰحِدَةً أَوْ مَا مَلَكَتْ أَيْمَـٰنُكُمْ ۚ ذَٰلِكَ أَدْنَىٰٓ أَلَّا تَعُولُوا۟,وإن خفتم ألا تقسطوا فى ٱليتمى فٱنكحوا ما طاب لكم من ٱلنساء مثنى وثلث وربع  فإن خفتم ألا تعدلوا فوحدة أو ما ملكت أيمنكم  ذلك أدنى ألا تعولوا,وان خفتم الا تقسطوا في اليتمي فانكحوا ما طاب لكم من النساء مثني وثلث وربع  فان خفتم الا تعدلوا فوحده او ما ملكت ايمنكم  ذلك ادني الا تعولوا,وان خفتم الا تقسطوا في اليتمي فانكحوا ما طاب لكم من النساء مثني وثلث وربع فان خفتم الا تعدلوا فوحده او ما ملكت ايمنكم ذلك ادني الا تعولوا,"Eğer, velisi olduğunuz mal sahibi yetim kızlarla evlenmekle onlara haksızlık yapmaktan korkarsanız onlarla değil, hoşunuza giden başka kadınlarla iki, üç ve dörde kadar evlenebilirsiniz; şayet, aralarında adaletsizlik yapmaktan korkarsanız bir tane almalısınız veya sahip olduğunuz ile yetinmelisiniz. Doğru yoldan sapmamanız için en uygunu budur."
4,An-Nisa,4,4:4,وَءَاتُوا۟ ٱلنِّسَآءَ صَدُقَـٰتِهِنَّ نِحْلَةً ۚ فَإِن طِبْنَ لَكُمْ عَن شَىْءٍ مِّنْهُ نَفْسًا فَكُلُوهُ هَنِيٓـًٔا مَّرِيٓـًٔا,وءاتوا ٱلنساء صدقتهن نحلة  فإن طبن لكم عن شىء منه نفسا فكلوه هنيا مريا,وءاتوا النساء صدقتهن نحله  فان طبن لكم عن شيء منه نفسا فكلوه هنيا مريا,وءاتوا النساء صدقتهن نحله فان طبن لكم عن شيء منه نفسا فكلوه هنيا مريا,"Kadınlara mehirlerini cömertçe verin, eğer ondan gönül hoşluğu ile size bir şey bağışlarlarsa onu afiyetle yiyin."
4,An-Nisa,5,4:5,وَلَا تُؤْتُوا۟ ٱلسُّفَهَآءَ أَمْوَٰلَكُمُ ٱلَّتِى جَعَلَ ٱللَّهُ لَكُمْ قِيَـٰمًا وَٱرْزُقُوهُمْ فِيهَا وَٱكْسُوهُمْ وَقُولُوا۟ لَهُمْ قَوْلًا مَّعْرُوفًا,ولا تؤتوا ٱلسفهاء أمولكم ٱلتى جعل ٱلله لكم قيما وٱرزقوهم فيها وٱكسوهم وقولوا لهم قولا معروفا,ولا توتوا السفهاء امولكم التي جعل الله لكم قيما وارزقوهم فيها واكسوهم وقولوا لهم قولا معروفا,ولا توتوا السفهاء امولكم التي جعل الله لكم قيما وارزقوهم فيها واكسوهم وقولوا لهم قولا معروفا,"Allah'ın sizi koruyucu kılmış olduğu mallarınızı, beyinsizlere vermeyin, kendilerini bunların geliriyle rızıklandırıp giydirin ve onlara güzel söz söyleyin."
4,An-Nisa,6,4:6,وَٱبْتَلُوا۟ ٱلْيَتَـٰمَىٰ حَتَّىٰٓ إِذَا بَلَغُوا۟ ٱلنِّكَاحَ فَإِنْ ءَانَسْتُم مِّنْهُمْ رُشْدًا فَٱدْفَعُوٓا۟ إِلَيْهِمْ أَمْوَٰلَهُمْ ۖ وَلَا تَأْكُلُوهَآ إِسْرَافًا وَبِدَارًا أَن يَكْبَرُوا۟ ۚ وَمَن كَانَ غَنِيًّا فَلْيَسْتَعْفِفْ ۖ وَمَن كَانَ فَقِيرًا فَلْيَأْكُلْ بِٱلْمَعْرُوفِ ۚ فَإِذَا دَفَعْتُمْ إِلَيْهِمْ أَمْوَٰلَهُمْ فَأَشْهِدُوا۟ عَلَيْهِمْ ۚ وَكَفَىٰ بِٱللَّهِ حَسِيبًا,وٱبتلوا ٱليتمى حتى إذا بلغوا ٱلنكاح فإن ءانستم منهم رشدا فٱدفعوا إليهم أمولهم  ولا تأكلوها إسرافا وبدارا أن يكبروا  ومن كان غنيا فليستعفف  ومن كان فقيرا فليأكل بٱلمعروف  فإذا دفعتم إليهم أمولهم فأشهدوا عليهم  وكفى بٱلله حسيبا,وابتلوا اليتمي حتي اذا بلغوا النكاح فان ءانستم منهم رشدا فادفعوا اليهم امولهم  ولا تاكلوها اسرافا وبدارا ان يكبروا  ومن كان غنيا فليستعفف  ومن كان فقيرا فلياكل بالمعروف  فاذا دفعتم اليهم امولهم فاشهدوا عليهم  وكفي بالله حسيبا,وابتلوا اليتمي حتي اذا بلغوا النكاح فان ءانستم منهم رشدا فادفعوا اليهم امولهم ولا تاكلوها اسرافا وبدارا ان يكبروا ومن كان غنيا فليستعفف ومن كان فقيرا فلياكل بالمعروف فاذا دفعتم اليهم امولهم فاشهدوا عليهم وكفي بالله حسيبا,"Yetimleri, evlenme çağına gelene kadar deneyin; onlarda olgunlaşma görürseniz mallarını kendilerine verin; büyüyecekler de geri alacaklar diye onları israf ederek ve tez elden yemeyin. Zengin olan, iffetli olmağa çalışsın, yoksul olan uygun bir şekilde yesin. Mallarını kendilerine verdiğiniz zaman, yanlarında şahid bulundurun. Hesap sormak için Allah yeter."
4,An-Nisa,7,4:7,لِّلرِّجَالِ نَصِيبٌ مِّمَّا تَرَكَ ٱلْوَٰلِدَانِ وَٱلْأَقْرَبُونَ وَلِلنِّسَآءِ نَصِيبٌ مِّمَّا تَرَكَ ٱلْوَٰلِدَانِ وَٱلْأَقْرَبُونَ مِمَّا قَلَّ مِنْهُ أَوْ كَثُرَ ۚ نَصِيبًا مَّفْرُوضًا,للرجال نصيب مما ترك ٱلولدان وٱلأقربون وللنساء نصيب مما ترك ٱلولدان وٱلأقربون مما قل منه أو كثر  نصيبا مفروضا,للرجال نصيب مما ترك الولدان والاقربون وللنساء نصيب مما ترك الولدان والاقربون مما قل منه او كثر  نصيبا مفروضا,للرجال نصيب مما ترك الولدان والاقربون وللنساء نصيب مما ترك الولدان والاقربون مما قل منه او كثر نصيبا مفروضا,"Ana babanın ve yakınların bıraktıklarından, erkeklere hisse vardır. Ana babanın ve yakınların bıraktıklarından kadınlara da hisse vardır. Bunlar, az veya çok, belirli bir hissedir."
4,An-Nisa,8,4:8,وَإِذَا حَضَرَ ٱلْقِسْمَةَ أُو۟لُوا۟ ٱلْقُرْبَىٰ وَٱلْيَتَـٰمَىٰ وَٱلْمَسَـٰكِينُ فَٱرْزُقُوهُم مِّنْهُ وَقُولُوا۟ لَهُمْ قَوْلًا مَّعْرُوفًا,وإذا حضر ٱلقسمة أولوا ٱلقربى وٱليتمى وٱلمسكين فٱرزقوهم منه وقولوا لهم قولا معروفا,واذا حضر القسمه اولوا القربي واليتمي والمسكين فارزقوهم منه وقولوا لهم قولا معروفا,واذا حضر القسمه اولوا القربي واليتمي والمسكين فارزقوهم منه وقولوا لهم قولا معروفا,"Taksimde, yakınlar, yetimler ve düşkünler bulunursa, ondan onlara da verin, güzel sözler söyleyin."
4,An-Nisa,9,4:9,وَلْيَخْشَ ٱلَّذِينَ لَوْ تَرَكُوا۟ مِنْ خَلْفِهِمْ ذُرِّيَّةً ضِعَـٰفًا خَافُوا۟ عَلَيْهِمْ فَلْيَتَّقُوا۟ ٱللَّهَ وَلْيَقُولُوا۟ قَوْلًا سَدِيدًا,وليخش ٱلذين لو تركوا من خلفهم ذرية ضعفا خافوا عليهم فليتقوا ٱلله وليقولوا قولا سديدا,وليخش الذين لو تركوا من خلفهم ذريه ضعفا خافوا عليهم فليتقوا الله وليقولوا قولا سديدا,وليخش الذين لو تركوا من خلفهم ذريه ضعفا خافوا عليهم فليتقوا الله وليقولوا قولا سديدا,"Arkalarında cılız çocuklar bıraktıkları takdirde, bundan endişe edecek olanlar, haksızlık yapmaktan korksunlar; dürüst söz söylesinler."
4,An-Nisa,10,4:10,إِنَّ ٱلَّذِينَ يَأْكُلُونَ أَمْوَٰلَ ٱلْيَتَـٰمَىٰ ظُلْمًا إِنَّمَا يَأْكُلُونَ فِى بُطُونِهِمْ نَارًا ۖ وَسَيَصْلَوْنَ سَعِيرًا,إن ٱلذين يأكلون أمول ٱليتمى ظلما إنما يأكلون فى بطونهم نارا  وسيصلون سعيرا,ان الذين ياكلون امول اليتمي ظلما انما ياكلون في بطونهم نارا  وسيصلون سعيرا,ان الذين ياكلون امول اليتمي ظلما انما ياكلون في بطونهم نارا وسيصلون سعيرا,"Yetimlerin mallarını haksız yere yiyenler, karınlarına ancak ateş tıkınmış olurlar, zaten onlar çılgın aleve atılacaklardır."
